iter	Passed	Remaining
0	1	138
1	2	136
2	4	133
3	5	128
4	7	133
5	8	132
6	9	126
7	10	123
8	12	122
9	13	120
10	14	117
11	15	115
12	16	112
13	17	110
14	19	109
15	20	107
16	21	106
17	23	105
18	24	103
19	25	101
20	26	99
21	27	98
22	28	96
23	30	95
24	31	93
25	32	92
26	33	90
27	34	89
28	36	88
29	37	86
30	38	85
31	39	83
32	40	82
33	41	81
34	43	80
35	44	78
36	45	77
37	46	76
38	47	74
39	49	73
40	50	72
41	51	70
42	52	69
43	53	67
44	54	66
45	55	65
46	56	64
47	57	62
48	58	61
49	59	59
50	61	58
51	62	57
52	63	56
53	64	55
54	65	53
55	66	52
56	68	51
57	69	50
58	70	48
59	71	47
60	72	46
61	74	45
62	75	44
63	76	43
64	78	42
65	79	40
66	80	39
67	81	38
68	82	37
69	83	35
70	84	34
71	85	33
72	86	32
73	90	31
74	91	30
75	92	29
76	93	28
77	94	26
78	95	25
79	96	24
80	97	22
81	98	21
82	99	20
83	100	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	113	3
97	115	2
98	116	1
99	117	0
